Addedby,ID,PageTitle,PageURL,Image,ImageCaption,LastEdited,Image2,Image2Caption,NumberLanguages
Claire,1,A Swingin' Summer,https://en.wikipedia.org/wiki/A_Swingin%27_Summer,https://en.wikipedia.org/wiki/A_Swingin%27_Summer#/media/File:Swingin_Summer.jpg,movie poster,"23 February 2023, at 10:59 (UTC)",https://en.wikipedia.org/wiki/A_Swingin%27_Summer#/media/File:Swingin_Summer_Italian.jpg,A Swinging Summer marketed internationally on the appeal of Rachel Welch,3
Chloé ,2,Comedy Film,https://en.wikipedia.org/wiki/Comedy_film,https://i.pinimg.com/originals/6a/e0/50/6ae050d5153f0a92b42f646e5d23b796.jpg,Charlie Chaplin Filming,"1 March 2023, at 20:57 (UTC)",None,None,52
Chloe,3,Silent Film Era,https://en.wikipedia.org/wiki/Silent_film,https://upload.wikimedia.org/wikipedia/commons/b/b7/Valentino_in_The_Four_Horsemen_of_the_Apocalypse.jpg,"A still from the 1921 Four Horsemen of the Apocalypse, one of the highest-grossing silent films
","10 February 2023, at 15:56 (UTC)",https://upload.wikimedia.org/wikipedia/commons/7/7f/1908_film-supply_catalog_with_prices_for_the_Kalem_release_Ben_Hur.jpeg,Price for a hand-colored print of Ben Hur in 1908,67
Chloé,4,Slapstick,https://en.wikipedia.org/wiki/Slapstick,https://upload.wikimedia.org/wikipedia/commons/c/c1/Chaplin%2C_Charlie_%28His_New_Job%29_03.jpg,"A slapstick scene from the 1915 Charlie Chaplin film His New Job. Chaplin started his film career as a physical comedian, and his later work continued to contain elements of slapstick."," 6 March 2023, at 11:09 (UTC)",https://upload.wikimedia.org/wikipedia/commons/e/e6/Skämtbilden_och_dess_historia_i_konsten_%281910%29_%2814578297507%29.jpg,Advertisement for Punch and Judy showing Punch with his slapstick (1910),38
Chloé,5,Raquel Welch,https://en.wikipedia.org/wiki/Raquel_Welch,https://upload.wikimedia.org/wikipedia/commons/d/dd/Raquel_Welch_in_The_Biggest_Bundle_of_Them_All.jpg,Raquel Welch,"7 March 2023, at 08:04 (UTC)",https://upload.wikimedia.org/wikipedia/en/b/b7/Raquel_Welch_in_deer-skin_bikini.jpg,This 1966 promotional still of Welch in the deerskin bikini became a bestselling poster and turned her into an instant pin-up girl.,58
Chloé,6,Jody Miller,https://en.wikipedia.org/wiki/Jody_Miller,https://upload.wikimedia.org/wikipedia/commons/d/dc/Jody_Miller.png,Jody Miller in 1965,"31 January 2023, at 11:16 (UTC)",None,None,9
Chloé,7,"Faster, Pussycat! Kill! Kill!","https://en.wikipedia.org/wiki/Faster,_Pussycat!_Kill!_Kill!",https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Faster_pussycat_kill_kill_poster_%281%29.jpg/1024px-Faster_pussycat_kill_kill_poster_%281%29.jpg,"Film poster for the exploitation film Faster, Pussycat! Kill! Kill!"," 7 March 2023, at 08:04 (UTC)",https://upload.wikimedia.org/wikipedia/commons/a/a6/Faster%2C_Pussycat%21_Kill%21_Kill%21_%28screenshot_from_trailer%2C1965%29.jpg,Stuart Lancaster (in wheelchair) as the Old Man,58
Claire,8,Go Go Dancer,https://en.wikipedia.org/wiki/Go-go_dancing,https://upload.wikimedia.org/wikipedia/commons/a/a9/Lead_Photo_For_Go-go_boot0-6405956067610532.JPG,Go Go Boots,"27 February 2023, at 15:42 (UTC)",https://en.wikipedia.org/wiki/Go-go_dancing#/media/File:Go-go_boys.jpg,Go Go Boys at the June 2008 Chicago Pride,23
Claire,9,Topless,https://en.wikipedia.org/wiki/Toplessness,https://upload.wikimedia.org/wikipedia/commons/7/74/Imitation_of_Christ_2_by_David_Shankbone.jpg,"The Imitation of Christ fashion line incorporated toplessness in its 2002 fashion show, which brought comparisons to Vanessa Beecroft's art","26 February 2023, at 01:10 (UTC)",https://en.wikipedia.org/wiki/Toplessness#/media/File:Topless_woman_at_the_2008_Oregon_Country_Fair.jpg,Topless woman at the 2008 Oregon Country Fair,47
Claire,10,Worlds Naked Bike Ride,https://en.wikipedia.org/wiki/World_Naked_Bike_Ride,https://upload.wikimedia.org/wikipedia/commons/d/da/Bringing_up_the_rear_%2834443465324%29.jpg,"A woman at World Naked Bike Ride, London, 2017","31 December 2022, at 12:23 (UTC)",https://en.wikipedia.org/wiki/World_Naked_Bike_Ride#/media/File:Bringing_up_the_rear_(34443465324).jpg,"A woman at World Naked Bike Ride, London, 2017.",24
Claire,11,Skateboards,https://en.wikipedia.org/wiki/Skateboard,https://upload.wikimedia.org/wikipedia/commons/d/d6/Skateboarder_in_the_air.jpg,Skateboarder doing a hard-flip,"23 February 2023, at 05:44 (UTC)",https://en.wikipedia.org/wiki/Skateboard#/media/File:Skateboard-truck.jpg,An Independent brand skateboard truck,61
Claire,12,California,https://en.wikipedia.org/wiki/California,https://upload.wikimedia.org/wikipedia/commons/5/5c/Cathedral_of_San_Carlos_Borromeo_%28cropped2%29.jpg,"The Cathedral of San Carlos Borromeo in Monterey, built 1791–94, is the oldest parish in California.","7 March 2023, at 13:45 (UTC","https://en.wikipedia.org/wiki/California#/media/File:Detail_of_Queen_Califia_in_the_%22California's_Name%22_mural_(Lucile_Lloyd,_1937)_(cropped).gif","California and its namesake ruler, Queen Calafia, originate in the 1510 epic Las Sergas de Esplandián, written by Garci Rodríguez de Montalvo",215